"","Area","Year","fertilizer","Barley","Cassava","Groundnut","Maize","Millet","Oil_palm","Potato","Rapeseed","Paddy_rice","Rye","Sorghum","Soy","Sugarcane","Sunflower","Wheat","Oil_crops_Nuts","Rapeseed_Mustard","Roots_Tubers_other_than_potato_Yam.","Roots_tubers","Cereals_incl_pulses","Cereals","Oilseeds","Rye_oat_rice","Triticale","Cereals_other","Rye_Oat","Buckwheat_millet","Cereals_mixture","Sunflower_soya_linseed"
"72","Morocco","1998","N  ",0,0,0,0,0,0,0,0,0,0,0,0,1400,2900,0,0,0,0,0,0,57600,200,0,0,0,0,0,0,0
"73","Netherlands","1999-2000","N  ",3000,0,0,9000,0,0,29000,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
"74","New Zealand","2000","N  ",3600,0,0,2400,0,0,1700,100,0,0,0,0,0,0,5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","Nigeria","1996","N  ",0,9800,3000,24800,10000,0,100,0,10100,0,10300,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Norway","1999-2000","N  ",18000,0,0,0,0,0,2000,1000,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,9000,0,0,0,0,0,0
"77","Pakistan","1998-99","N  ",0,0,0,51200,0,0,0,0,126500,0,0,0,226300,0,894000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Poland","1999-2000","N  ",69900,0,0,23100,0,0,65900,50300,0,60800,0,0,0,0,193100,0,0,0,0,0,0,0,0,44100,0,0,1500,66100,0
"79","Portugal","1999-2000","N  ",2000,0,0,44000,0,0,8000,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,8000,0,0,0,0,0,0
"80","Saudi Arabia","1996","N  ",15000,0,0,0,0,0,4000,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Slovakia","1999-2000","N  ",5800,0,0,14800,0,0,1000,0,0,1300,0,0,0,3200,25800,0,8300,0,0,0,0,0,0,400,0,0,0,0,0
"82","South Africa","1999","N  ",2300,0,700,190500,0,0,10200,0,0,600,7200,200,34800,7400,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Spain","1999-2000","N  ",288000,0,0,104000,0,0,19000,5000,0,0,0,0,0,0,227000,0,0,0,0,0,0,0,51000,0,0,0,0,0,12000
"84","Sri Lanka","1998","N  ",0,0,0,0,0,0,0,0,85200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","Sweden","1999-2000","N  ",36000,0,0,0,0,0,3000,6000,0,0,0,0,0,0,47000,0,0,0,0,0,0,0,28000,0,0,0,0,0,1000
"86","Switzerland","1999-2000","N  ",6000,0,0,8000,0,0,3000,3000,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,2000,0,0,0,0,0,0
"87","Syria","1995","N  ",58900,0,0,2400,0,0,800,0,0,0,0,0,0,0,49300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","United Kingdom","1999-2000","N  ",126000,0,0,6000,0,0,26000,74000,0,0,0,0,0,0,384000,0,0,0,0,0,0,0,12000,0,0,0,0,0,5000
"89","Zambia","1996","N  ",0,0,0,10200,500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
