Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
GU;Manure applied to Soils;10;Australia;72381;Manure applied to soils (N content);1755;All Animals;2000;2000;kg;151134179.7;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;10;Australia;72381;Manure applied to soils (N content);1755;All Animals;2006;2006;kg;157449809.2;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;10;Australia;72381;Manure applied to soils (N content);1755;All Animals;2010;2010;kg;143318240.5;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;10;Australia;72381;Manure applied to soils (N content);1755;All Animals;2014;2014;kg;157259345.4;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;10;Australia;723812;Manure applied to soils that leaches (N content);1755;All Animals;2000;2000;kg;45340253.91;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;10;Australia;723812;Manure applied to soils that leaches (N content);1755;All Animals;2006;2006;kg;47234942.77;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;10;Australia;723812;Manure applied to soils that leaches (N content);1755;All Animals;2010;2010;kg;42995472.14;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;10;Australia;723812;Manure applied to soils that leaches (N content);1755;All Animals;2014;2014;kg;47177803.61;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;10;Australia;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2000;2000;kg;30226835.94;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;10;Australia;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2006;2006;kg;31489961.85;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;10;Australia;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2010;2010;kg;28663648.09;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;10;Australia;723811;Manure applied to soils that volatilises (N content);1755;All Animals;2014;2014;kg;31451869.07;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;11;Austria;72381;Manure applied to soils (N content);1755;All Animals;2000;2000;kg;109590070.7;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;11;Austria;72381;Manure applied to soils (N content);1755;All Animals;2006;2006;kg;101811253.7;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;11;Austria;72381;Manure applied to soils (N content);1755;All Animals;2010;2010;kg;102087194;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;11;Austria;72381;Manure applied to soils (N content);1755;All Animals;2014;2014;kg;98765594.52;A;Aggregate, may include official, semi-official, estimated or calculated data
GU;Manure applied to Soils;11;Austria;723812;Manure applied to soils that leaches (N content);1755;All Animals;2000;2000;kg;32877021.22;A;Aggregate, may include official, semi-official, estimated or calculated data
