"","Country","Year","Area_harvested_ha","production_kj","code_Area_Year"
"340","Turkey","2014",12303568,495113230328724,"Turkey 2014"
"341","Ukraine","2000",15863700,419622059307600,"Ukraine 2000"
"342","Ukraine","2006",19472900,608385076954560,"Ukraine 2006"
"343","Ukraine","2010",21508610,736015445449200,"Ukraine 2010"
"344","Ukraine","2014",23302000,1200174206664600,"Ukraine 2014"
"345","United_Republic_of_Tanzania","2000",3738240,81831611285676,"United_Republic_of_Tanzania 2000"
"346","United_Republic_of_Tanzania","2006",6326710,123813801817668,"United_Republic_of_Tanzania 2006"
"347","United_Republic_of_Tanzania","2010",7243771,160460638014528,"United_Republic_of_Tanzania 2010"
"348","United_Republic_of_Tanzania","2014",10839418,247460555841912,"United_Republic_of_Tanzania 2014"
"349","United_States_of_America","2000",90288879,6215180145946488,"United_States_of_America 2000"
"350","United_States_of_America","2006",85033417,6316450142716512,"United_States_of_America 2006"
"351","United_States_of_America","2010",90742570,7295133095032680,"United_States_of_America 2010"
"352","United_States_of_America","2014",93671726,8166357756700344,"United_States_of_America 2014"
"353","Uruguay","2000",534852,23978928802500,"Uruguay 2000"
"354","Uruguay","2006",949030,44960580531756,"Uruguay 2006"
"355","Uruguay","2010",1638127,70310418630264,"Uruguay 2010"
"356","Uruguay","2014",2218275,92552607610740,"Uruguay 2014"
"357","Uzbekistan","2000",1589800,59423825991600,"Uzbekistan 2000"
"358","Uzbekistan","2006",1669800,95318536476708,"Uzbekistan 2006"
"359","Uzbekistan","2010",1757149,108998707399200,"Uzbekistan 2010"
"360","Uzbekistan","2014",1736400,117422804896416,"Uzbekistan 2014"
"361","Venezuela_(Bolivarian_Republic_of)","2000",1132141,59049204148548,"Venezuela_(Bolivarian_Republic_of) 2000"
"362","Venezuela_(Bolivarian_Republic_of)","2006",1417147,74325794207328,"Venezuela_(Bolivarian_Republic_of) 2006"
"363","Venezuela_(Bolivarian_Republic_of)","2010",1335903,67670141661288,"Venezuela_(Bolivarian_Republic_of) 2010"
"364","Venezuela_(Bolivarian_Republic_of)","2014",1117303,64443672080352,"Venezuela_(Bolivarian_Republic_of) 2014"
"365","Viet_Nam","2000",9335278,448365825045000,"Viet_Nam 2000"
"366","Viet_Nam","2006",9590012,546931371417840,"Viet_Nam 2006"
"367","Viet_Nam","2010",9842513,610823252691396,"Viet_Nam 2010"
"368","Viet_Nam","2014",10194770,687249665946756,"Viet_Nam 2014"
"369","Zambia","2000",1084169,25143929641656,"Zambia 2000"
"370","Zambia","2006",1264354,34144176496860,"Zambia 2006"
"371","Zambia","2010",1823886,60303420085392,"Zambia 2010"
"372","Zambia","2014",1939445,69359437503072,"Zambia 2014"
"373","Zimbabwe","2000",2030930,39287978786736,"Zimbabwe 2000"
"374","Zimbabwe","2006",3021830,44934452303940,"Zimbabwe 2006"
"375","Zimbabwe","2010",2373241,28356735265848,"Zimbabwe 2010"
"376","Zimbabwe","2014",1792246,26399239045056,"Zimbabwe 2014"
