"","ITEM","kcal_100g","kj_100g","kj_t"
"227","COFFEE SUBSTITUTES",56,234.4608,2344608
"228","COFFEE EXTRACTS",129,540.0972,5400972
"229","CHICORY ROOTS",60,251.208,2512080
"230","COCOA BEANS",414,1733.3352,17333352
"231","COCOA PASTE",472,1976.1696,19761696
"232","COCOA BUTTER",711,2976.8148,29768148
"233","COCOA POWDER",261,1092.7548,10927548
"234","CHOCOLATE PRODUCTS NES",393,1645.4124,16454124
"235","TEA",40,167.472,1674720
"236","EXTRACT TEA",18,75.3624,753624
"237","TEA NES",40,167.472,1674720
"238","MATE",40,167.472,1674720
"239","SPICES ",NA,NA,NA
"240","PEPPER WHITE/LONG/BLACK",276,1155.5568,11555568
"241","PIMENTO",318,1331.4024,13314024
"242","CINNAMON",261,1092.7548,10927548
"243","CLOVES",323,1352.3364,13523364
"244","NUTMEG",525,2198.07,21980700
"245","ANISE",345,1444.446,14444460
"246","GINGER",347,1452.8196,14528196
"247","SPICES NES",337,1410.9516,14109516
"248","ALCOHOLIC BEVERAGES",NA,NA,NA
"249","WHEAT FERMENTED BEVERAGE",60,251.208,2512080
"250","RICE FERMENTED BEVERAGE",133,556.8444,5568444
"251","BEER BARLEY",49,205.1532,2051532
"252","BEER MAIZE",40,167.472,1674720
"253","BEER MILLET",40,167.472,1674720
"254","BEER SORGHUM",40,167.472,1674720
"255","FERMENTED BEVERAGES, CIDER ETC.",47,196.7796,1967796
"256","MUST OF GRAPES",61,255.3948,2553948
"257","CITRUS FRUIT NES JUICE CONCENTRATED",157,657.3276,6573276
"258","APPLES",48,200.9664,2009664
"259","APPLES JUICE",47,196.7796,1967796
"260","APPLES JUICE CONCENTRATED",166,695.0088,6950088
"261","PEARS",54,226.0872,2260872
"262","QUINCES",35,146.538,1465380
"263","APRICOTS",45,188.406,1884060
"264","SOUR CHERRY",45,188.406,1884060
"265","CHERRIES",65,272.142,2721420
"266","PEACHES AND NECTARINES",33,138.1644,1381644
"267","PLUMS",52,217.7136,2177136
"268","PLUM JUICE",71,297.2628,2972628
"269","PLUM JUICE CONCENTRATED",215,900.162,9001620
"270","STONE FRUIT NES",52,217.7136,2177136
"271","POME FRUIT NES",48,200.9664,2009664
"272","CAROBS",111,464.7348,4647348
"273","STRAWBERRIES",28,117.2304,1172304
"274","RASPBERRIES",47,196.7796,1967796
"275","GOOSEBERRIES",44,184.2192,1842192
"276","CURRANTS",59,247.0212,2470212
"277","BLUEBERRIES",55,230.274,2302740
"278","CRANBERRIES",47,196.7796,1967796
"279","BERRIES NES",49,205.1532,2051532
"280","GRAPES",53,221.9004,2219004
"281","GRAPE JUICE",61,255.3948,2553948
"282","WATERMELONS",17,71.1756,711756
"283","MELONS",17,71.1756,711756
"284","FIGS",73,305.6364,3056364
"285","MANGOES",45,188.406,1884060
"286","MANGO JUICE",62,259.5816,2595816
"287","MANGO PULP",65,272.142,2721420
"288","AVOCADOS",119,498.2292,4982292
"289","PINEAPPLES",26,108.8568,1088568
"290","PINEAPPLES CANNED",78,326.5704,3265704
"291","PINEAPPLES JUICE",56,234.4608,2344608
"292","PINEAPPLES JUICE CONCENTRATED",179,749.4372,7494372
"293","PERSIMMONS",82,343.3176,3433176
"294","CASHEWAPPLE",43,180.0324,1800324
"295","KIWI",52,217.7136,2177136
"296","PAPAYAS",26,108.8568,1088568
"297","FRUIT TROPICAL NES",41,171.6588,1716588
"298","FRUIT NES FRESH",45,188.406,1884060
"299","FRUIT NES JUICE",48,200.9664,2009664
"300","FRUIT NES PREPARED",36,150.7248,1507248
"301","FLOUR OF FRUIT",346,1448.6328,14486328
"302","FRUIT,NUTS,FRUIT PEEL PRESERVED BY SUGAR",212,887.6016,8876016
"303","WINE",68,284.7024,2847024
"304","VERMOUTHS AND SIMILAR",137,573.5916,5735916
"305","BEVERAGES DIST. ALCOHOL",295,1235.106,12351060
"306","MEAT AND PRODUCTS",NA,NA,NA
"307","BEEF BONELESS",150,628.02,6280200
"308","BEEF DRIED SALTED SMOKED",203,849.9204,8499204
"309","MEAT EXTRACTS",238,996.4584,9964584
"310","BEEF SAUSAGES",313,1310.4684,13104684
"311","BEEF PREPARATIONS",233,975.5244,9755244
"312","BEEF CANNED",233,975.5244,9755244
"313","HOMOGENIZED MEAT PREPARED",110,460.548,4605480
"314","LIVER PREPARATIONS",315,1318.842,13188420
"315","OFFALS OF CATTLE",105,439.614,4396140
"316","BUFFALO MEAT",77,322.3836,3223836
"317","OFFALS OF BUFFALO",105,439.614,4396140
"318","MUTTON AND LAMB",263,1101.1284,11011284
"319","OFFALS OF SHEEP",117,489.8556,4898556
"320","GOAT MEAT",123,514.9764,5149764
"321","OFFALS OF GOATS",117,489.8556,4898556
"322","PIGMEAT",326,1364.8968,13648968
"323","PORK",220,921.096,9210960
"324","BACON - HAM OF PIGS",362,1515.6216,15156216
"325","PIG MEAT SAUSAGES",417,1745.8956,17458956
"326","PIG MEAT PREPARATIONS",239,1000.6452,10006452
"327","OFFALS OF PIGS",113,473.1084,4731084
"328","CHICKEN MEAT",122,510.7896,5107896
"329","CHICKEN MEAT CANNED",165,690.822,6908220
"330","OFFAL OF CHICKENS",125,523.35,5233500
"331","FAT LIVER PREPARATIONS",462,1934.3016,19343016
"332","DUCK MEAT",291,1218.3588,12183588
"333","OFFALS LIVER DUCKS",136,569.4048,5694048
"334","GOOSE MEAT",301,1260.2268,12602268
"335","OFFALS LIVER GEESE",133,556.8444,5568444
"336","TURKEY MEAT",126,527.5368,5275368
"337","OFFALS LIVER TURKEYS",137,573.5916,5735916
"338","PIGEONS OTHER BIRDS",226,946.2168,9462168
"339","POULTRY MEAT",185,774.558,7745580
"340","HORSEMEAT",85,355.878,3558780
"341","OFFALS OF HORSES",105,439.614,4396140
"342","MEAT OF ASSES",94,393.5592,3935592
"343","MEAT OF MULES",94,393.5592,3935592
"344","MEAT OF CAMELS",174,728.5032,7285032
"345","OFFALS OF CAMELS",105,439.614,4396140
"346","RABBIT MEAT",118,494.0424,4940424
"347","MEAT OF OTHER RODENTS",81,339.1308,3391308
"348","MEAT OF OTHER CAMELIDS",143,598.7124,5987124
"349","OFFALS OF OTHER CAMELIDS",105,439.614,4396140
"350","GAME MEAT",104,435.4272,4354272
"351","MEAT NES",126,527.5368,5275368
"352","MEAT NES DRIED",250,1046.7,10467000
"353","MEAT PREPARED NES",242,1013.2056,10132056
"354","OFFALS NES",105,439.614,4396140
"355","SNAILS NOT SEA",42,175.8456,1758456
"356","EGGS",NA,NA,NA
"357","HEN EGGS",139,581.9652,5819652
"358","EGGS LIQUID HEN",158,661.5144,6615144
"359","EGGS DRY HEN",594,2486.9592,24869592
"360","EGG ALBUMINE",49,205.1532,2051532
"361","EGGS EXCLUDING HEN EGGS",163,682.4484,6824484
"362","FISH AND FISHERIES PRODUCTS",NA,NA,NA
"363","FRESHWATER DIADROMOUS FISH FRESH",69,288.8892,2888892
"364","FRESHWATER DIADROMOUS FISH FILLET",127,531.7236,5317236
"365","FRESHWATER DIADROMOUS FISH CURED",199,833.1732,8331732
"366","FRESHWATER DIADROMOUS FISH CANNED",161,674.0748,6740748
"367","FRESHWATER DIADROM. FISH PREPARED NES",262,1096.9416,10969416
"368","DEMERSAL FISH FRESH",42,175.8456,1758456
"369","DEMERSAL FISH FILLET",90,376.812,3768120
"370","DEMERSAL FISH CURED",186,778.7448,7787448
"371","DEMERSAL FISH CANNED",173,724.3164,7243164
"372","DEMERSAL FISH PREPARED NES",320,1339.776,13397760
"373","PELAGIC FISH FRESH",86,360.0648,3600648
"374","PELAGIC FISH FILLET",141,590.3388,5903388
"375","PELAGIC FISH CURED",156,653.1408,6531408
"376","PELAGIC FISH CANNED",185,774.558,7745580
"377","PELAGIC FISH PREPARED NES",318,1331.4024,13314024
"378","MARINE FISH NES FRESH",64,267.9552,2679552
"379","MARINE FISH NES FILLET",115,481.482,4814820
"380","MARINE FISH NES CURED",169,707.5692,7075692
"381","MARINE FISH NES CANNED",179,749.4372,7494372
"382","MARINE FISH PREPARED NES",132,552.6576,5526576
"383","CRUSTACEANS FRESH",47,196.7796,1967796
"384","CRUSTACEANS FROZEN",91,380.9988,3809988
"385","CRUSTACEANS CURED",149,623.8332,6238332
"386","CRUSTACEANS CANNED",98,410.3064,4103064
"387","CRUSTACEANS PREPARED NES",113,473.1084,4731084
"388","MOLLUSCS FRESH",15,62.802,628020
"389","MOLLUSCS FROZEN",71,297.2628,2972628
"390","MOLLUSCS CURED",345,1444.446,14444460
"391","MOLLUSCS CANNED",98,410.3064,4103064
"392","CEPHALOPODS FRESH",66,276.3288,2763288
"393","CEPHALOPODS FROZEN",74,309.8232,3098232
"394","CEPHALOPODS CURED",341,1427.6988,14276988
"395","CEPHALOPODS CANNED",137,573.5916,5735916
"396","CEPHALOPODS PREPARED NES",130,544.284,5442840
"397","AQUATIC MAMMALS MEAT",136,569.4048,5694048
"398","AQUATIC MAMMALS PREPARED NES",156,653.1408,6531408
"399","AQUATIC ANIMALS NES FRESH",30,125.604,1256040
"400","AQUATIC ANIMALS NES CURED",33,138.1644,1381644
"401","AQUATIC ANIMALS PREPARED NES",168,703.3824,7033824
"402","AQUATIC PLANTS",54,226.0872,2260872
"403","AQUATIC PLANTS DRIED",215,900.162,9001620
"404","AQUATIC PLANTS PREPARED NES",312,1306.2816,13062816
"405","MILK AND CHEESE",NA,NA,NA
"406","COW MILK, WHOLE FRESH",61,255.3948,2553948
"407","STANDARDIZED MILK",48,200.9664,2009664
"408","CREAM, FRESH",195,816.426,8164260
"409","WHOLE COW MILK EVAPORATED",134,561.0312,5610312
"410","WHOLE COW MILK CONDENSED",321,1343.9628,13439628
"411","WHOLE COW MILK DRY",496,2076.6528,20766528
"412","SKIM MILK OF COWS",35,146.538,1465380
"413","SKIM MILK EVAPORATED",78,326.5704,3265704
"414","SKIM MILK CONDENSED",271,1134.6228,11346228
"415","SKIM MILK DRY",362,1515.6216,15156216
"416","BUTTERMILK CURDLED",75,314.01,3140100
"417","BUTTERMILK DRY",387,1620.2916,16202916
"418","YOGHURT",61,255.3948,2553948
"419","YOGHURT CONCENTRATED",82,343.3176,3433176
"420","RECONSTITUTED MILK",61,255.3948,2553948
"421","CHEESE WHOLE COW MILK",387,1620.2916,16202916
"422","CHEESE SKIM COW MILK",247,1034.1396,10341396
"423","WHEY CHEESE",72,301.4496,3014496
"424","PROCESSED CHEESE",103,431.2404,4312404
"425","WHEY FRESH",26,108.8568,1088568
"426","WHEY CONDENSED",26,108.8568,1088568
"427","WHEY DRY",346,1448.6328,14486328
"428","CASEIN",427,1787.7636,17877636
"429","BUFFALO MILK",97,406.1196,4061196
"430","SKIM MILK OF BUFFALO",41,171.6588,1716588
"431","CHEESE BUFFALO MILK",269,1126.2492,11262492
"432","SHEEP MILK",94,393.5592,3935592
"433","CHEESE SHEEP MILK",310,1297.908,12979080
"434","SKIM MILK OF SHEEP",48,200.9664,2009664
"435","GOAT MILK",69,288.8892,2888892
"436","CHEESE GOAT MILK",280,1172.304,11723040
"437","SKIM MILK OF GOAT",35,146.538,1465380
"438","CAMEL MILK",73,305.6364,3056364
"439","OILS AND FATS",NA,NA,NA
"440","VEGETABLE OILS",NA,NA,NA
"441","OIL OF RICE BRAN",884,3701.1312,37011312
"442","OIL OF MAIZE",884,3701.1312,37011312
"443","OIL OF SOYABEANS",884,3701.1312,37011312
"444","OIL OF GROUNDNUTS",884,3701.1312,37011312
"445","OIL OF COCONUTS",884,3701.1312,37011312
"446","PALM OIL",884,3701.1312,37011312
"447","OIL OF PALM KERNELS",884,3701.1312,37011312
"448","OLIVE OIL",884,3701.1312,37011312
"449","BUTTER OF KARITE NUTS",711,2976.8148,29768148
"450","OIL OF CASTOR BEANS",884,3701.1312,37011312
"451","OIL OF SUNFLOWER SEED",884,3701.1312,37011312
"452","OIL OF RAPESEED",884,3701.1312,37011312
"453","OIL OF OLIVE RESIDUES",884,3701.1312,37011312
"454","TUNG OIL",884,3701.1312,37011312
"455","OIL OF SAFFLOWER",884,3701.1312,37011312
"456","OIL OF SESAME SEED",884,3701.1312,37011312
"457","OIL OF MUSTARD SEED",884,3701.1312,37011312
"458","OIL OF POPPY SEED",884,3701.1312,37011312
"459","STILLINGIA OIL",884,3701.1312,37011312
"460","OIL OF KAPOK",884,3701.1312,37011312
"461","OIL OF COTTON SEED",884,3701.1312,37011312
"462","OIL OF LINSEED",884,3701.1312,37011312
"463","OIL OF HEMPSEED",884,3701.1312,37011312
"464","OIL OF VEGETABLE ORIGIN NES",884,3701.1312,37011312
"465","MARGARINE",720,3014.496,30144960
"466","OILS BOILED",902,3776.4936,37764936
"467","OILS HYDROGENATED",720,3014.496,30144960
"468","ANIMALS FATS",NA,NA,NA
"469","FAT OF CATTLE",847,3546.2196,35462196
"470","CATTLE BUTCHER FAT",847,3546.2196,35462196
"471","BUTTER OF COW MILK",717,3001.9356,30019356
"472","GHEE FROM COW MILK",873,3655.0764,36550764
"473","FAT OF BUFFALO",847,3546.2196,35462196
"474","BUTTER OF BUFFALO MILK",717,3001.9356,30019356
"475","GHEE FROM BUFFALO MILK",873,3655.0764,36550764
"476","FAT OF SHEEP",902,3776.4936,37764936
"477","BUTTER OF SHEEP MILK",716,2997.7488,29977488
"478","FAT OF GOATS",847,3546.2196,35462196
"479","BUTTER OF GOAT MILK",717,3001.9356,30019356
"480","FAT OF PIGS",712,2981.0016,29810016
"481","PIG BUTCHER FAT",712,2981.0016,29810016
"482","LARD",902,3776.4936,37764936
"483","FAT OF POULTRY",629,2633.4972,26334972
"484","FAT OF POULTRY RENDERED",901,3772.3068,37723068
"485","FAT OF CAMELS",847,3546.2196,35462196
"486","FAT OF OTHER CAMELIDS",847,3546.2196,35462196
"487","ANIMAL OILS AND FATS NES",902,3776.4936,37764936
"488","TALLOW",884,3701.1312,37011312
"489","FATS PREPARATION NES",720,3014.496,30144960
"490","FRESHWATER DIADROMOUS FISH BODY OIL",902,3776.4936,37764936
"491","FRESHWATER DIADROMOUS FISH LIVER OIL",902,3776.4936,37764936
"492","DEMERSAL FISH BODY OIL",902,3776.4936,37764936
"493","DEMERSAL FISH LIVER OIL",902,3776.4936,37764936
"494","PELAGIC FISH BODY OIL",902,3776.4936,37764936
"495","PELAGIC FISH LIVER OIL",902,3776.4936,37764936
"496","MARINE FISH NES BODY OIL",902,3776.4936,37764936
"497","MARINE FISH L221NES LIVER OIL",902,3776.4936,37764936
"498","AQUATIC MAMMALS OILS",902,3776.4936,37764936
"499","MISCELLANOUS",NA,NA,NA
"500","INFANT FOOD",368,1540.7424,15407424
"501","BEVERAGES NON-ALCOHOLIC",39,163.2852,1632852
"502","ICE CREAM",149,623.8332,6238332
"503","FOOD PREPARATIONS",41,171.6588,1716588
