"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","Roots","sugarcane"
"135","Malawi",24.4535291879664,2269.58401204227,37481.9590845627,561.601960560354,NA,816.657876209318,3506.45917094608,1645.07038223521,2438.15874920115
"136","Maldives",NA,NA,0.769637440957083,NA,NA,0.253600768949404,NA,0.0292348852732716,NA
"137","Mali",265.757646492054,23038.7695503729,17660.6724508716,15.5426001733255,NA,16991.683793648,3157.31128066536,70.9823014435033,446.548550542945
"138","Martinique",NA,NA,NA,NA,NA,NA,NA,0.608085613684048,347.366417598316
"139","Mauritania",90.3177917365272,1922.88316652318,405.225107484489,NA,NA,826.087213891164,10.584860122068,2.22185128076864,NA
"140","Mauritius",NA,13.8734215572911,3.03457048148793,NA,NA,NA,2.15285290618332,4.98162445056547,4642.60299861034
"141","Micronesia_(Federated_States_of)",NA,3.09794850308441,1.29738882904194,NA,NA,0.0403455768783143,NA,4.84714397830843,NA
"142","Mongolia",7528.55921290451,NA,NA,NA,NA,39.584774571466,33.0821729916837,77.2093320067102,NA
"143","Montenegro",19.102704090811,NA,14.2932667606315,NA,NA,3.49853788073382,NA,9.61827725490634,NA
"144","Montserrat",NA,NA,0.439792823404047,NA,NA,NA,NA,0.245573036295481,NA
"145","Mozambique",491.138535487698,12678.01751534,37459.3537334397,NA,NA,1995.9533247086,3837.98954827787,5195.62381076582,4240.01328815366
"146","Myanmar",2552.44696892957,231320.61575675,10073.5645682756,695.354004434837,NA,2714.09882948876,12827.7381606115,430.436909832486,16344.1714868227
"147","Namibia",38.7740949069235,NA,769.439534186551,NA,NA,2603.76520403425,6.33297563235593,6.61293104881403,NA
"148","Nepal",19502.6976538708,50070.6263544551,20423.1211228783,109.438515802518,NA,1725.38435885495,NA,1202.86935456876,6014.57671388595
"149","New_Caledonia",NA,NA,24.8702841634989,NA,NA,0.737747691489175,NA,3.44386948519139,NA
"150","Nicaragua",NA,2228.50252102311,6880.36081538579,8.08454751161419,127.16435058589,340.222722507145,387.029131209106,147.443220387218,6529.44462839629
"151","Niger",18.5340173655095,493.718706002431,707.054922186687,NA,NA,63000.0620968334,6987.16483900195,55.7801611014021,502.412909819236
"152","Nigeria",1809.4577623231,103778.682005124,143890.756272101,2916.03870519201,77085.7322487904,41575.4368619498,25114.580998765,39613.0415131778,7497.91282404675
"153","Niue",NA,NA,NA,NA,NA,NA,NA,0.0409288393825802,NA
"154","Norway",2046.49672918742,NA,0.659689235106071,NA,NA,764.266262805907,36.7779038139651,72.1809317397075,NA
"155","Occupied_Palestinian_Territory",452.028398424915,NA,18.7571639181826,NA,NA,44.8239359118071,0.053821322654583,10.4310070655033,NA
"156","Oman",24.014089445688,NA,31.7750314909424,NA,NA,3.82130249576034,NA,1.16939541093086,5.49485501078275
"157","Panama",NA,2633.92969468764,1207.67109306751,1.3220883964862,135.353734763621,7.52156826088573,NA,12.3371215853206,3499.12367086645
"158","Papua_New_Guinea",NA,13.6377080842303,571.928577195793,NA,3955.80318515574,6.7204203771592,12.4865468558633,88.833122391363,668.72385481226
"159","Paraguay",14475.6620985848,4040.80239532749,17591.7129361619,16123.0292254414,401.737616370943,144.09134599398,1498.02681388589,1053.85914433089,10806.5481878727
