"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t","kj_t_crop"
"237",5016,66217,66217,"Azerbaijan","MILLET",2000,12,2,14235120
"238",5017,66223,66223,"Azerbaijan","MILLET",2006,20,50,14235120
"239",5018,66227,66227,"Azerbaijan","MILLET",2010,79,59,14235120
"240",5019,66231,66231,"Azerbaijan","MILLET",2014,85,77,14235120
"241",5088,66663,66663,"Azerbaijan","POTATOES",2000,52487,469009,2805156
"242",5089,66669,66669,"Azerbaijan","POTATOES",2006,66847,999343,2805156
"243",5090,66673,66673,"Azerbaijan","POTATOES",2010,65798,953710,2805156
"244",5091,66677,66677,"Azerbaijan","POTATOES",2014,61658,819319,2805156
"245",5112,66813,66813,"Azerbaijan","RICE, PADDY",2000,4450,22335,11723040
"246",5113,66819,66819,"Azerbaijan","RICE, PADDY",2006,1200,5085,11723040
"247",5114,66823,66823,"Azerbaijan","RICE, PADDY",2010,1640,3930,11723040
"248",5115,66827,66827,"Azerbaijan","RICE, PADDY",2014,1087,2679,11723040
"249",5120,66863,66863,"Azerbaijan","RYE",2000,6,9,13355892
"250",5121,66869,66869,"Azerbaijan","RYE",2006,12,16,13355892
"251",5122,66873,66873,"Azerbaijan","RYE",2010,3,2,13355892
"252",5123,66877,66877,"Azerbaijan","RYE",2014,71,86,13355892
"253",5128,66913,66913,"Azerbaijan","SORGHUM",2000,2,0,14360724
"254",5129,66919,66919,"Azerbaijan","SORGHUM",2006,1,1,14360724
"255",5130,66923,66923,"Azerbaijan","SORGHUM",2010,0,0,14360724
"256",5131,66927,66927,"Azerbaijan","SORGHUM",2014,13,16,14360724
"257",5132,66938,66938,"Azerbaijan","SOYBEANS",2000,67,80,14025780
"258",5133,66944,66944,"Azerbaijan","SOYBEANS",2006,106,52,14025780
"259",5134,66948,66948,"Azerbaijan","SOYBEANS",2010,59,42,14025780
"260",5135,66952,66952,"Azerbaijan","SOYBEANS",2014,78,49,14025780
"261",5144,67013,67013,"Azerbaijan","SUNFLOWER SEED",2000,4335,3748,12895344
"262",5145,67019,67019,"Azerbaijan","SUNFLOWER SEED",2006,10599,15899,12895344
"263",5146,67023,67023,"Azerbaijan","SUNFLOWER SEED",2010,9046,15492,12895344
"264",5147,67027,67027,"Azerbaijan","SUNFLOWER SEED",2014,11705,19840,12895344
"265",5184,67263,67263,"Azerbaijan","WHEAT",2000,495330,1150281,13983912
"266",5185,67269,67269,"Azerbaijan","WHEAT",2006,560575,1460303,13983912
"267",5186,67273,67273,"Azerbaijan","WHEAT",2010,656480,1272340,13983912
"268",5187,67277,67277,"Azerbaijan","WHEAT",2014,604429,1407405,13983912
"269",5460,70957,70957,"Bangladesh","BARLEY",2000,6880,5000,13900176
"270",5461,70963,70963,"Bangladesh","BARLEY",2006,969,760,13900176
"271",5462,70967,70967,"Bangladesh","BARLEY",2010,619,528,13900176
"272",5463,70971,70971,"Bangladesh","BARLEY",2014,248,266,13900176
"273",5566,72423,72423,"Bangladesh","GROUNDNUTS, WITH SHELL",2000,29150,32000,17333352
"274",5567,72429,72429,"Bangladesh","GROUNDNUTS, WITH SHELL",2006,29394,37980,17333352
"275",5568,72433,72433,"Bangladesh","GROUNDNUTS, WITH SHELL",2010,33591,53467,17333352
"276",5569,72437,72437,"Bangladesh","GROUNDNUTS, WITH SHELL",2014,29560,56439,17333352
"277",5590,72761,72761,"Bangladesh","MAIZE",2000,4855,10000,14905008
"278",5591,72767,72767,"Bangladesh","MAIZE",2006,98404,521525,14905008
"279",5592,72771,72771,"Bangladesh","MAIZE",2010,152009,887391,14905008
"280",5593,72775,72775,"Bangladesh","MAIZE",2014,307152,2124000,14905008
"281",5602,72929,72929,"Bangladesh","MILLET",2000,26041,19500,14235120
"282",5603,72935,72935,"Bangladesh","MILLET",2006,20477,14150,14235120
"283",5604,72939,72939,"Bangladesh","MILLET",2010,35871,11990,14235120
"284",5605,72943,72943,"Bangladesh","MILLET",2014,18091,6369,14235120
"285",5642,73486,73486,"Bangladesh","POTATOES",2000,243219,2933000,2805156
"286",5643,73492,73492,"Bangladesh","POTATOES",2006,373200,5368400,2805156
"287",5644,73496,73496,"Bangladesh","POTATOES",2010,435000,7930000,2805156
"288",5645,73500,73500,"Bangladesh","POTATOES",2014,461710,8950000,2805156
"289",5658,73710,73710,"Bangladesh","RAPESEED",2000,328609,249000,20682792
"290",5659,73716,73716,"Bangladesh","RAPESEED",2006,216814,183465,20682792
"291",5660,73720,73720,"Bangladesh","RAPESEED",2010,242101,221928,20682792
"292",5661,73724,73724,"Bangladesh","RAPESEED",2014,293920,296000,20682792
"293",5662,73766,73766,"Bangladesh","RICE, PADDY",2000,10801214,37627500,11723040
"294",5663,73772,73772,"Bangladesh","RICE, PADDY",2006,10579000,40773000,11723040
"295",5664,73776,73776,"Bangladesh","RICE, PADDY",2010,11529000,50061200,11723040
"296",5665,73780,73780,"Bangladesh","RICE, PADDY",2014,11319490,52325620,11723040
"297",5682,74046,74046,"Bangladesh","SORGHUM",2000,810,1000,14360724
"298",5683,74052,74052,"Bangladesh","SORGHUM",2006,184,250,14360724
"299",5684,74056,74056,"Bangladesh","SORGHUM",2010,196,251,14360724
"300",5685,74060,74060,"Bangladesh","SORGHUM",2014,111,120,14360724
"301",5686,74102,74102,"Bangladesh","SOYBEANS",2000,NA,NA,14025780
"302",5687,74108,74108,"Bangladesh","SOYBEANS",2006,40600,61485,14025780
"303",5688,74112,74112,"Bangladesh","SOYBEANS",2010,40681,69522,14025780
"304",5689,74116,74116,"Bangladesh","SOYBEANS",2014,60893,112024,14025780
"305",5698,74270,74270,"Bangladesh","SUGAR CANE",2000,170374,6910000,1256040
"306",5699,74276,74276,"Bangladesh","SUGAR CANE",2006,152396,5510930,1256040
"307",5700,74280,74280,"Bangladesh","SUGAR CANE",2010,117500,4490812,1256040
"308",5701,74284,74284,"Bangladesh","SUGAR CANE",2014,107219,4508000,1256040
"309",5736,74789,74789,"Bangladesh","WHEAT",2000,832447,1840000,13983912
"310",5737,74795,74795,"Bangladesh","WHEAT",2006,479000,735000,13983912
"311",5738,74799,74799,"Bangladesh","WHEAT",2010,376256,901490,13983912
"312",5739,74803,74803,"Bangladesh","WHEAT",2014,429770,1303000,13983912
"313",5884,76644,76644,"Belarus","BARLEY",2000,736000,1377600,13900176
"314",5885,76650,76650,"Belarus","BARLEY",2006,680414,1830647,13900176
"315",5886,76654,76654,"Belarus","BARLEY",2010,679959,1965780,13900176
"316",5887,76658,76658,"Belarus","BARLEY",2014,545796,1988102,13900176
"317",5968,77167,77167,"Belarus","MAIZE",2000,13000,30000,14905008
"318",5969,77173,77173,"Belarus","MAIZE",2006,38749,152631,14905008
"319",5970,77177,77177,"Belarus","MAIZE",2010,111668,550586,14905008
"320",5971,77181,77181,"Belarus","MAIZE",2014,111932,599455,14905008
"321",5972,77192,77192,"Belarus","MILLET",2000,12479,15899,14235120
"322",5973,77198,77198,"Belarus","MILLET",2006,11713,16117,14235120
"323",5974,77202,77202,"Belarus","MILLET",2010,10903,16502,14235120
"324",5975,77206,77206,"Belarus","MILLET",2014,6947,10008,14235120
"325",6016,77467,77467,"Belarus","POTATOES",2000,661000,8717800,2805156
"326",6017,77473,77473,"Belarus","POTATOES",2006,433922,8329412,2805156
"327",6018,77477,77477,"Belarus","POTATOES",2010,366766,7831111,2805156
"328",6019,77481,77481,"Belarus","POTATOES",2014,307943,6279715,2805156
"329",6030,77552,77552,"Belarus","RAPESEED",2000,110000,72600,20682792
"330",6031,77558,77558,"Belarus","RAPESEED",2006,107117,115042,20682792
"331",6032,77562,77562,"Belarus","RAPESEED",2010,307028,374522,20682792
"332",6033,77566,77566,"Belarus","RAPESEED",2014,400481,729622,20682792
"333",6038,77605,77605,"Belarus","RYE",2000,723000,1359900,13355892
"334",6039,77611,77611,"Belarus","RYE",2006,488081,1072024,13355892
"335",6040,77615,77615,"Belarus","RYE",2010,342542,734606,13355892
"336",6041,77619,77619,"Belarus","RYE",2014,319633,867075,13355892
"337",6050,77680,77680,"Belarus","SUNFLOWER SEED",2000,10000,20000,12895344
"338",6051,77686,77686,"Belarus","SUNFLOWER SEED",2006,11000,20000,12895344
"339",6052,77690,77690,"Belarus","SUNFLOWER SEED",2010,3847,2724,12895344
"340",6053,77694,77694,"Belarus","SUNFLOWER SEED",2014,5325,5084,12895344
"341",6088,77918,77918,"Belarus","WHEAT",2000,452000,965800,13983912
"342",6089,77924,77924,"Belarus","WHEAT",2006,381417,1075238,13983912
"343",6090,77928,77928,"Belarus","WHEAT",2010,602788,1739110,13983912
"344",6091,77932,77932,"Belarus","WHEAT",2014,741946,2925079,13983912
"345",6100,77969,77969,"Belgium","BARLEY",2000,48500,333400,13900176
"346",6101,77975,77975,"Belgium","BARLEY",2006,49008,367348,13900176
"347",6102,77979,77979,"Belgium","BARLEY",2010,40828,373400,13900176
"348",6103,77983,77983,"Belgium","BARLEY",2014,47200,399970,13900176
"349",6204,78409,78409,"Belgium","MAIZE",2000,35800,397400,14905008
"350",6205,78415,78415,"Belgium","MAIZE",2006,56500,575898,14905008
"351",6206,78419,78419,"Belgium","MAIZE",2010,62531,745891,14905008
"352",6207,78423,78423,"Belgium","MAIZE",2014,63100,662700,14905008
"353",6208,78426,78426,"Belgium","MAIZE, GREEN",2000,NA,NA,2344608
"354",6209,78432,78432,"Belgium","MAIZE, GREEN",2006,NA,NA,2344608
"355",6246,78584,78584,"Belgium","POTATOES",2000,65800,2921900,2805156
