"","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"1199",16521,16521,"Algeria","Chick peas",2010,25525,23474
"1200",16525,16525,"Algeria","Chick peas",2014,33295,35118
"1201",16567,16567,"Algeria","Chillies and peppers, dry",2000,3742,7500
"1202",16573,16573,"Algeria","Chillies and peppers, dry",2006,3794,7738
"1203",16577,16577,"Algeria","Chillies and peppers, dry",2010,4006,10505
"1204",16581,16581,"Algeria","Chillies and peppers, dry",2014,4181,15035
"1205",16618,16618,"Algeria","Chillies and peppers, green",2000,15900,174773
"1206",16624,16624,"Algeria","Chillies and peppers, green",2006,21131,275888
"1207",16628,16628,"Algeria","Chillies and peppers, green",2010,21688,380412
"1208",16632,16632,"Algeria","Chillies and peppers, green",2014,22281,532680
"1209",16674,16674,"Algeria","Citrus Fruit,Total",2000,41754,433015
"1210",16680,16680,"Algeria","Citrus Fruit,Total",2006,46259,680735
"1211",16684,16684,"Algeria","Citrus Fruit,Total",2010,63517,788613
"1212",16688,16688,"Algeria","Citrus Fruit,Total",2014,59601,1271554
"1213",16730,16730,"Algeria","Coarse Grain, Total",2000,230850,173858
"1214",16736,16736,"Algeria","Coarse Grain, Total",2006,888126,1329815
"1215",16740,16740,"Algeria","Coarse Grain, Total",2010,1100636,1605865
"1216",16744,16744,"Algeria","Coarse Grain, Total",2014,857702,999018
"1217",16786,16786,"Algeria","Cotton lint",2000,NA,20
"1218",16792,16792,"Algeria","Cotton lint",2006,NA,16
"1219",16796,16796,"Algeria","Cotton lint",2010,NA,22
"1220",16800,16800,"Algeria","Cotton lint",2014,NA,28
"1221",16840,16840,"Algeria","Cottonseed",2000,NA,37
"1222",16846,16846,"Algeria","Cottonseed",2006,NA,31
"1223",16850,16850,"Algeria","Cottonseed",2010,NA,40
"1224",16854,16854,"Algeria","Cottonseed",2014,NA,52
"1225",16879,16879,"Algeria","Cucumbers and gherkins",2000,3090,52837
"1226",16885,16885,"Algeria","Cucumbers and gherkins",2006,4274,93446
"1227",16889,16889,"Algeria","Cucumbers and gherkins",2010,4350,115540
"1228",16893,16893,"Algeria","Cucumbers and gherkins",2014,4506,180241
"1229",16935,16935,"Algeria","Dates",2000,101820,365616
"1230",16941,16941,"Algeria","Dates",2006,154372,492188
"1231",16945,16945,"Algeria","Dates",2010,161091,644741
"1232",16949,16949,"Algeria","Dates",2014,165378,934377
"1233",16975,16975,"Algeria","Eggplants (aubergines)",2000,3090,38406
"1234",16981,16981,"Algeria","Eggplants (aubergines)",2006,3499,54438
"1235",16985,16985,"Algeria","Eggplants (aubergines)",2010,4589,90683
"1236",16989,16989,"Algeria","Eggplants (aubergines)",2014,5090,138084
"1237",17031,17031,"Algeria","Fibre Crops Primary",2000,NA,20
"1238",17037,17037,"Algeria","Fibre Crops Primary",2006,NA,16
"1239",17041,17041,"Algeria","Fibre Crops Primary",2010,NA,22
"1240",17045,17045,"Algeria","Fibre Crops Primary",2014,NA,28
"1241",17085,17085,"Algeria","Figs",2000,36000,54326
"1242",17091,17091,"Algeria","Figs",2006,49180,91927
"1243",17095,17095,"Algeria","Figs",2010,46921,123763
"1244",17099,17099,"Algeria","Figs",2014,44395,128620
"1245",17141,17141,"Algeria","Fruit, citrus nes",2000,374,380
"1246",17147,17147,"Algeria","Fruit, citrus nes",2006,400,390
"1247",17151,17151,"Algeria","Fruit, citrus nes",2010,431,501
"1248",17155,17155,"Algeria","Fruit, citrus nes",2014,450,551
"1249",17197,17197,"Algeria","Fruit, fresh nes",2000,6190,39124
"1250",17203,17203,"Algeria","Fruit, fresh nes",2006,10860,81947
"1251",17207,17207,"Algeria","Fruit, fresh nes",2010,15451,98097
"1252",17211,17211,"Algeria","Fruit, fresh nes",2014,3895,10296
"1253",17253,17253,"Algeria","Fruit, stone nes",2000,95120,398011
"1254",17259,17259,"Algeria","Fruit, stone nes",2006,280387,980981
"1255",17263,17263,"Algeria","Fruit, stone nes",2010,262698,1233060
"1256",17267,17267,"Algeria","Fruit, stone nes",2014,11968,107243
"1257",17292,17292,"Algeria","Fruit, tropical fresh nes",2000,NA,NA
"1258",17298,17298,"Algeria","Fruit, tropical fresh nes",2006,NA,NA
"1259",17302,17302,"Algeria","Fruit, tropical fresh nes",2010,NA,NA
"1260",17306,17306,"Algeria","Fruit, tropical fresh nes",2014,NA,NA
"1261",17335,17335,"Algeria","Garlic",2000,8930,35605
"1262",17341,17341,"Algeria","Garlic",2006,11433,53513
"1263",17345,17345,"Algeria","Garlic",2010,10574,64494
"1264",17349,17349,"Algeria","Garlic",2014,9197,92205
"1265",17391,17391,"Algeria","Grapefruit (inc. pomelos)",2000,140,1379
"1266",17397,17397,"Algeria","Grapefruit (inc. pomelos)",2006,94,2530
