"","country","year","N_area","Nt_area","yield","cropsuit","manure_area","netcap_area","netcap14_area","market","IFA_Region"
"329","Thailand",2000,1585204.31155104,0.0520928127127511,40325713.0942795,45.89237119,11.892623961901,0.000844862961736254,0.00117435951681339,1050.431159,"IFA"
"333","Togo",2000,156791.686012837,0.00529559564183746,17508974.6574876,59.11386458,8.38843724268475,0.000252205559248701,0.000350565727355695,138.7488444,"IFA"
"337","Turkey",2000,1662022.08466457,0.0577381723577944,33327166.7720933,30.72251226,4.34992556290488,0.00346327609953108,0.0048139537783482,3180.367236,"IFA"
"345","United_Republic_of_Tanzania",2000,142565.203716615,0.0048151001540832,21890411.3394742,54.98337399,10.5613881211479,0.000537298300804657,0.000746844638118473,80.37956116,"IFA"
"349","United_States_of_America",2000,2849093.62106327,0.0914032834542114,68836607.7282507,66.67575229,26.3875450929012,0.0037465300682269,0.00520767679483539,12402.17048,"IFA"
"353","Uruguay",2000,2114647.35216566,0.0714216269173528,44832830.0212021,80.2172942,67.0855920329362,0.00295530352321764,0.00410787189727252,1782.148668,"IFA"
"361","Venezuela_(Bolivarian_Republic_of)",2000,2343234.24300052,0.0791420856589418,52157111.3037581,42.58360421,105.477803118163,0.00735077167949929,0.010217572634504,1633.390951,"IFA"
"365","Viet_Nam",2000,2980035.23325471,0.0979295956692452,48029188.3160844,60.10697341,22.9499182991658,0.000539201939138824,0.000749490695402965,652.5337752,"IFA"
"369","Zambia",2000,294940.888629872,0.00996154658544932,23191891.3395015,47.430356,9.10549677494929,0.000221340030936136,0.00030766264300123,78.15617195,"IFA"
"373","Zimbabwe",2000,1825229.95710581,0.0616466347929274,19344821.7253849,43.40218694,7.82098585377143,0.00235038627623798,0.00326703692397079,52.95665025,"IFA"
"11","EU27",2000,2903088.50621318,0.0951250519643358,61618531.968932,47.0027606,81.3394158084157,0.00961526304822538,0.0133652156370333,14327.10038,"IFA"
"10","Argentina",2006,723911.471819777,0.0244499088741931,42525175.2749156,55.98132736,6.20376025663117,0.000650579768135216,0.000767684126399555,1798.839226,"IFA"
"14","Australia",2006,913971.983442037,0.0308691498596483,31530381.8768827,34.39855154,8.12590786680184,0.00421069005375802,0.00496861426343446,5323.713368,"IFA"
"26","Bangladesh",2006,2958417.58065208,0.0972191987064609,43663710.4511195,65.05402331,17.0183749334261,0.000791045331288148,0.000933433490920015,453.6634146,"IFA"
"42","Brazil",2006,1040378.00057356,0.0351384779754828,47530108.7491308,37.46278576,31.9714975578359,0.00135483185767437,0.00159870159205575,874.8070531,"IFA"
"54","Canada",2006,1867365.69116256,0.0599079490825236,41651758.3611667,52.90569057,12.3184198153895,0.00148036385329377,0.00174682934688665,6632.006585,"IFA"
"58","Chile",2006,4672862.18910071,0.157824622419602,84043093.2447537,50.55634595,209.528395372276,0.0144368055992263,0.0170354306070871,1766.421086,"IFA"
"62","China,_mainland",2006,6518047.5711367,0.162402230763717,63829291.1218291,54.92953288,43.9295506402182,0.000990846494725214,0.00116919886377575,1661.629198,"IFA"
"98","Egypt",2006,7796371.41933638,0.263320279029358,101843961.05886,33.72700312,8.12217859873158,0.00597549663533318,0.00705108602969316,3125.35044,"IFA"
"146","India",2006,2601634.44938135,0.0730554575209766,30809000.5358877,63.79775131,16.4165502152175,0.00198096578519605,0.00233753962653134,1255.704127,"IFA"
"150","Indonesia",2006,2507403.39058889,0.0823980191508949,71421907.8270704,59.30161483,21.4493310361808,0.00356044646024585,0.0042013268230901,288.4772941,"IFA"
"154","Iran_(Islamic_Republic_of)",2006,2260860.70321789,0.0763599422343221,34107944.9965646,25.27723093,30.636100166084,0.00229005842977882,0.00270226894713901,2922.739502,"IFA"
