Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"CS","Capital Stock","21","Brazil","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","42475.84","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","21","Brazil","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","65977.32","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","21","Brazil","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","110355.87","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","21","Brazil","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","105074.49","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","26","Brunei Darussalam","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","125.72","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","26","Brunei Darussalam","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","170","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","26","Brunei Darussalam","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","216.31","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","26","Brunei Darussalam","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","251.1","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","27","Bulgaria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","1234.41","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","27","Bulgaria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","1684.92","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","27","Bulgaria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","2103.66","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","27","Bulgaria","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","2419.21","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","233","Burkina Faso","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","519.66","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","233","Burkina Faso","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","935.32","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","233","Burkina Faso","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","1344.56","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","233","Burkina Faso","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","1883.2","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","29","Burundi","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","288.85","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","29","Burundi","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","523.95","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","29","Burundi","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","510.53","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","29","Burundi","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","567.83","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","35","Cabo Verde","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","41.95","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","35","Cabo Verde","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","101.32","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","35","Cabo Verde","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","141.3","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","35","Cabo Verde","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","179.64","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","115","Cambodia","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","626.04","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","115","Cambodia","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","807.19","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","115","Cambodia","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","1251.79","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","115","Cambodia","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","2142.78","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","32","Cameroon","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","1311.95","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","32","Cameroon","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","2282.13","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","32","Cameroon","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","3067.59","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","32","Cameroon","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2014","2014","millions","3674.61","IM","FAO data based on imputation methodology",""
"CS","Capital Stock","33","Canada","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2000","2000","millions","23235.32","Cv","Calculated through value",""
"CS","Capital Stock","33","Canada","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2006","2006","millions","31175.2","Cv","Calculated through value",""
"CS","Capital Stock","33","Canada","6110","Value US$","22034","Net Capital Stocks (Agriculture, Forestry and Fishing)","2010","2010","millions","38187.17","Cv","Calculated through value",""
