"","Country","Year","Area_harvested_ha","N_total_kj","N_total_t","production_kj","code_Area_Year","suitability","market","net_capital_stocks","net_capital_stocks14","Manure_kg"
"95","Ecuador",2010,1297837,1012443035639.21,34194.9822945378,69088922577288,"Ecuador 2010",41.67266981,711.0737179,6789.67,7332.8436,100100192.3
"96","Ecuador",2014,1335436,1162991630655.35,39279.7192721538,79708729682268,"Ecuador 2014",41.67266981,711.0737179,8467.02,8467.02,98134718.82
"97","Egypt",2000,3046645,14513812927156.2,490200,302545879918128,"Egypt 2000",33.72700312,3125.35044,17489.52,24310.4328,24975362.67
"98","Egypt",2006,3310729,25811672952768.1,871782.084070588,337177755352440,"Egypt 2006",33.72700312,3125.35044,19783.25,23344.235,26890332.23
"99","Egypt",2010,3365276,23136570007729.5,781431.225186063,303665529549024,"Egypt 2010",33.72700312,3125.35044,30627.4,33077.592,28152434.58
"100","Egypt",2014,3679729,22146507362015.6,747992.134344475,365290599051288,"Egypt 2014",33.72700312,3125.35044,32812.94,32812.94,32126833.59
"101","El_Salvador",2000,433154,977062069759.6,33000,17992884075804,"El_Salvador 2000",50.91787733,4761.958848,2662.74,3701.2086,16697224.09
"102","El_Salvador",2006,401449,344251521998.336,11626.999530071,20108993404608,"El_Salvador 2006",50.91787733,4761.958848,3119.47,3680.9746,19893555.05
"103","El_Salvador",2010,425211,326826879129.687,11038.487057361,20916164483208,"El_Salvador 2010",50.91787733,4761.958848,3925.48,4239.5184,18106343.53
"104","El_Salvador",2014,491035,444806216927.772,15023.206419453,23582013966036,"El_Salvador 2014",50.91787733,4761.958848,4446.27,4446.27,15901897.59
"105","Estonia",2000,322699,462574739491.237,12900,9816443962848,"Estonia 2000",0,0,263.26,365.9314,14375466.47
"106","Estonia",2006,314183,942789114906.695,26291.9233239427,9694539084384,"Estonia 2006",0,0,1227.2,1448.096,13451475.32
"107","Estonia",2010,344336,1083514514404.83,30216.3867642129,11625285044484,"Estonia 2010",0,0,1805.47,1949.9076,12742501.7
"108","Estonia",2014,382000,1213284987529.23,33835.3459515347,19409846957640,"Estonia 2014",0,0,2738.64,2738.64,13547166.15
"109","Ethiopia",2000,5089730,1426423626868.62,48177.0617687025,94602934189152,"Ethiopia 2000",48.10677865,47.8697192,7102.8,9872.892,51085422.53
"110","Ethiopia",2006,6002602,2864387125077.55,96743.8794864039,155019654692856,"Ethiopia 2006",48.10677865,47.8697192,8212.66,9690.9388,65384409.33
"111","Ethiopia",2010,7050353,2835062303043.44,95753.4417679857,211719975406848,"Ethiopia 2010",48.10677865,47.8697192,7743.44,8362.9152,104722874
"112","Ethiopia",2014,7335582,3380650656124.54,114180.53684098,279519328163808,"Ethiopia 2014",48.10677865,47.8697192,11411.87,11411.87,113991089.8
"113","Finland",2000,837800,1954817063784.58,67909.7862767154,40230735112800,"Finland 2000",0,0,12786.98,17773.9022,53085523.92
"114","Finland",2006,913600,2122479383769.47,73734.3273694702,42338864275200,"Finland 2006",0,0,21076.58,24870.3644,48937120.33
"115","Finland",2010,836700,2035407478961.92,70709.4742741432,35214597021600,"Finland 2010",0,0,24822.36,26808.1488,46656421.03
"116","Finland",2014,853000,1983428588800.51,68903.7424810473,44968032324000,"Finland 2014",0,0,26662.04,26662.04,46345107.4
"117","France",2000,10837919,24206131575628.7,840914.094899749,1022226695318880,"France 2000",0,0,83649.28,116272.4992,993176455.1
"118","France",2006,10805578,31625887383515.2,1098674.29173549,964029777614748,"France 2006",0,0,131552.66,155232.1388,903155225.6
"119","France",2010,11092608,34250474152057.3,1189851.68619271,1033094432787480,"France 2010",0,0,150649.31,162701.2548,907995792
"120","France",2014,11429672,35308833501790.2,1226618.78761405,1151536899329496,"France 2014",0,0,156273.31,156273.31,863720038.6
"121","Germany",2000,7648740,36032160219204.1,1251746.95111223,687660313864032,"Germany 2000",0,0,112789.67,156777.6413,792979447.9
"122","Germany",2006,7816200,20701986197032.9,719181.085631725,702598559864400,"Germany 2006",0,0,161270.12,190298.7416,735469951.6
"123","Germany",2010,7774261,21800014689459.5,757326.281736197,724567470003072,"Germany 2010",0,0,188631.15,203721.642,741242085
"124","Germany",2014,7572600,21031786784959.8,730638.263827566,840005358404400,"Germany 2014",0,0,207347.26,207347.26,761254831.3
"125","Greece",2000,1310723,3602924912037.17,125164.582037054,73248291040500,"Greece 2000",0,0,12052.15,16752.4885,66713471
"126","Greece",2006,1217524,4009917465191.29,139303.387050041,69577958820528,"Greece 2006",0,0,20450.67,24131.7906,65196165.75
"127","Greece",2010,1234767,4162891946399.82,144617.676820231,71804962664892,"Greece 2010",0,0,24317.42,26262.8136,63808291.41
"128","Greece",2014,1051312,3430665403094.42,119180.335913385,64103085781200,"Greece 2014",0,0,21074.71,21074.71,60435312.9
"129","Guatemala",2000,886297,2377517703081.69,80300,41515844567616,"Guatemala 2000",47.5886423,1496.343564,3137.3,4360.847,40647316.76
"130","Guatemala",2006,888662,905050755238.823,30567.8378552037,53214432273972,"Guatemala 2006",47.5886423,1496.343564,5084.23,5999.3914,68087332.35
"131","Guatemala",2010,1193001,1120595502635.77,37847.8018249945,62858904724728,"Guatemala 2010",47.5886423,1496.343564,6561.95,7086.906,69981142.53
"132","Guatemala",2014,1331128,1395735859001.87,47140.5909333828,84225767635332,"Guatemala 2014",47.5886423,1496.343564,8099.12,8099.12,74854288.12
"133","Guinea",2000,1752110,307922591681.813,10400,35396321977368,"Guinea 2000",47.21394846,98.28548958,817.52,1136.3528,5856038.009
"134","Guinea",2006,2198795,1391413309106.08,46994.5980113608,46151840059416,"Guinea 2006",47.21394846,98.28548958,514.87,607.5466,8057847.743
"135","Guinea",2010,2902860,1868492199486.93,63107.80501206,50004761641884,"Guinea 2010",47.21394846,98.28548958,962.6,1039.608,9791771.267
"136","Guinea",2014,3092487,2286973341470.63,77241.8893377978,55547813411640,"Guinea 2014",47.21394846,98.28548958,1407.51,1407.51,11409609.39
"137","Honduras",2000,529876,1252415925782.76,42300,18777053503224,"Honduras 2000",49.62899047,1144.808546,1052.82,1463.4198,22375557.52
"138","Honduras",2006,554272,461858331025.16,15599.1368363939,26871260635512,"Honduras 2006",49.62899047,1144.808546,1388.69,1638.6542,34264327.78
"139","Honduras",2010,568014,466913472530.293,15769.8728365238,31140744408936,"Honduras 2010",49.62899047,1144.808546,2025.21,2187.2268,36451676.2
"140","Honduras",2014,606183,527284773041.979,17808.8967415003,32294944183320,"Honduras 2014",49.62899047,1144.808546,2523.02,2523.02,34792394.12
"141","Hungary",2000,3105930,4484780695622.14,155800,153442314887904,"Hungary 2000",0,0,13969.85,19418.0915,95607286.12
"142","Hungary",2006,3403233,10920151495699.2,379362.942917307,227550937937040,"Hungary 2006",0,0,24359.52,28744.2336,88009807.82
"143","Hungary",2010,3264596,10978108450786.4,381376.350977906,197648004410244,"Hungary 2010",0,0,27872.87,30102.6996,79163356.24
"144","Hungary",2014,3539060,11753721582784.8,408320.929579777,271273311012960,"Hungary 2014",0,0,26594.82,26594.82,77582022.83
"145","India",2000,128262300,204133811446759,5732200,3801332220733152,"India 2000",63.79775131,1255.704127,137945.33,191744.0087,1937627023
"146","India",2006,128637300,334667231155403,9397656.80576312,3963186644635152,"India 2006",63.79775131,1255.704127,254826.09,300694.7862,2111780695
"147","India",2010,128241790,458181358123007,12866007.65654,4419197425217520,"India 2010",63.79775131,1255.704127,444039.62,479562.7896,2186472617
"148","India",2014,130199260,454158173021549,12753034.2031217,4862949395825160,"India 2014",63.79775131,1255.704127,565337.78,565337.78,2196187145
"149","Indonesia",2000,20625584,52288529389994.2,1718300,1172436372925164,"Indonesia 2000",59.30161483,288.4772941,34850.38,48442.0282,403682214
"150","Indonesia",2006,22297170,55907999658536.8,1837242.64067076,1592506420544520,"Indonesia 2006",59.30161483,288.4772941,79387.88,93677.6984,478259380.5
"151","Indonesia",2010,26235990,76982975528471.3,2529806.21933278,2007687436589592,"Indonesia 2010",59.30161483,288.4772941,176702.44,190838.6352,557434795
"152","Indonesia",2014,28547810,77125853546820.8,2534501.46132551,2380489951714524,"Indonesia 2014",59.30161483,288.4772941,204048.82,204048.82,681624344.1
"153","Iran_(Islamic_Republic_of)",2000,7370042,16718804289753.8,564672.970774131,192687516762228,"Iran_(Islamic_Republic_of) 2000",25.27723093,2922.739502,15419.02,21432.4378,232050616.4
"154","Iran_(Islamic_Republic_of)",2006,9920284,22428380260361.2,757512.31318807,338360501022300,"Iran_(Islamic_Republic_of) 2006",25.27723093,2922.739502,22718.03,26807.2754,303918814.3
"155","Iran_(Islamic_Republic_of)",2010,9425133,17889281584692.6,604205.516278109,295062426045828,"Iran_(Islamic_Republic_of) 2010",25.27723093,2922.739502,35701.12,38557.2096,336056743.9
"156","Iran_(Islamic_Republic_of)",2014,8979523,15937050895098.7,538269.467023377,269007311941416,"Iran_(Islamic_Republic_of) 2014",25.27723093,2922.739502,41034.16,41034.16,296203501.9
"157","Ireland",2000,276719,1008233276017.06,35025.7359421823,29980099139688,"Ireland 2000",0,0,7779.61,10813.6579,254308092.1
"158","Ireland",2006,271312,671459885443.126,23326.3245746126,28455965691552,"Ireland 2006",0,0,10261.1,12108.098,246555485.4
"159","Ireland",2010,273002,686301757756.756,23841.9269782532,28125328862052,"Ireland 2010",0,0,11369.35,12278.898,233425293.9
"160","Ireland",2014,306393,667001819510.513,23171.4526378468,35880189364800,"Ireland 2014",0,0,12476.48,12476.48,247892325.2
"161","Israel",2000,106136,435236740165.64,14700,4568036819580,"Israel 2000",68.87929533,21093.20833,2192.55,3047.6445,8680625.554
"162","Israel",2006,131700,80098365751.6447,2705.30005371576,5861968490016,"Israel 2006",68.87929533,21093.20833,3026.22,3570.9396,9997199.898
"163","Israel",2010,103300,51401293444.8554,1736.06440796292,5670739916928,"Israel 2010",68.87929533,21093.20833,3992.33,4311.7164,10988814.81
"164","Israel",2014,107662,60028308988.2798,2027.43946154888,7812058177872,"Israel 2014",68.87929533,21093.20833,4105.77,4105.77,9945307.309
"165","Italy",2000,4578414,14801765497463.5,514209.104306024,315936897160464,"Italy 2000",0,0,146855.39,204128.9921,435842312.4
"166","Italy",2006,4030443,13010728380859.3,451988.986600087,299165839601760,"Italy 2006",0,0,240735.65,284068.067,404560612.9
"167","Italy",2010,3666464,12378560676270.8,430027.661162024,273956605844688,"Italy 2010",0,0,275573.7,297619.596,420191287.2
"168","Italy",2014,3664876,12115287526155,420881.627147903,292024375904520,"Italy 2014",0,0,272087.44,272087.44,409023754.3
"169","Japan",2000,2287273,5495388862383.52,183313.809708738,166012563581280,"Japan 2000",44.71204462,16487.80529,259576.58,360811.4462,179985154.8
"170","Japan",2006,2245683,2456144287786.28,81931.447958202,152674890357744,"Japan 2006",44.71204462,16487.80529,198847.26,234639.7668,171636130.3
"171","Japan",2010,2171631,5943383016355.65,198257.886852035,146796070835088,"Japan 2010",44.71204462,16487.80529,227424.57,245618.5356,171653118.7
"172","Japan",2014,2113635,5216024296625.96,173994.836269535,150448281286752,"Japan 2014",44.71204462,16487.80529,172414.34,172414.34,167754611
"173","Jordan",2000,36731,47372706412.5867,1600,1087837780212,"Jordan 2000",30.643428,2463.525316,367.7,511.103,2801871.33
"174","Jordan",2006,69329,28673739851.7184,968.447598564052,1328803778844,"Jordan 2006",30.643428,2463.525316,280.16,330.5888,2967121.189
"175","Jordan",2010,50261,19126701296.7118,645.999023323859,1746453239892,"Jordan 2010",30.643428,2463.525316,229.47,247.8276,3335168.062
"176","Jordan",2014,68756,25718759706.1774,868.643964976224,1852970037372,"Jordan 2014",30.643428,2463.525316,198.58,198.58,3146704.316
"177","Kenya",2000,2140112,1015552393719.83,34300,47555819213904,"Kenya 2000",36.83373688,151.0185151,2078.45,2889.0455,40637877.92
"178","Kenya",2006,2666233,1769107397770.96,59751.1109409925,74505140390808,"Kenya 2006",36.83373688,151.0185151,3327.44,3926.3792,48753037.08
