"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"889",4717,63202,63202,"Austria","Millet",2006,4000,7470
"890",4718,63206,63206,"Austria","Millet",2010,3000,7000
"891",4719,63210,63210,"Austria","Millet",2014,2678,9627
"920",4772,63974,63974,"Austria","Potatoes",2000,23737,694609
"921",4773,63980,63980,"Austria","Potatoes",2006,21920,654621
"922",4774,63984,63984,"Austria","Potatoes",2010,21973,671722
"923",4775,63988,63988,"Austria","Potatoes",2014,21384,750637
"928",4788,64186,64186,"Austria","Rapeseed",2000,51762,125353
"929",4789,64192,64192,"Austria","Rapeseed",2006,42582,137303
"930",4790,64196,64196,"Austria","Rapeseed",2010,53804,170584
"931",4791,64200,64200,"Austria","Rapeseed",2014,52816,198286
"936",4800,64354,64354,"Austria","Rye",2000,52473,182781
"937",4801,64360,64360,"Austria","Rye",2006,26924,93786
"938",4802,64364,64364,"Austria","Rye",2010,45699,161148
"939",4803,64368,64368,"Austria","Rye",2014,48241,232530
"940",4804,64410,64410,"Austria","Sorghum",2000,NA,NA
"941",4805,64416,64416,"Austria","Sorghum",2006,NA,NA
"942",4806,64420,64420,"Austria","Sorghum",2010,1167,7897
"943",4807,64424,64424,"Austria","Sorghum",2014,2795,18526
"944",4808,64439,64439,"Austria","Soybeans",2000,15537,32843
"945",4809,64445,64445,"Austria","Soybeans",2006,25013,64960
"946",4810,64449,64449,"Austria","Soybeans",2010,34378,94544
"947",4811,64453,64453,"Austria","Soybeans",2014,43832,118132
"960",4828,64717,64717,"Austria","Sunflower seed",2000,22336,54960
"961",4829,64723,64723,"Austria","Sunflower seed",2006,34621,84620
"962",4830,64727,64727,"Austria","Sunflower seed",2010,25411,66498
"963",4831,64731,64731,"Austria","Sunflower seed",2014,20540,57747
"976",4872,65319,65319,"Austria","Wheat",2000,293806,1312962
"977",4873,65325,65325,"Austria","Wheat",2006,284577,1396300
"978",4874,65329,65329,"Austria","Wheat",2010,302852,1517805
"979",4875,65333,65333,"Austria","Wheat",2014,304645,1804018
"988",4888,65419,65419,"Azerbaijan","Barley",2000,108480,219463
"989",4889,65425,65425,"Azerbaijan","Barley",2006,179912,399737
"990",4890,65429,65429,"Azerbaijan","Barley",2010,264624,513302
"991",4891,65433,65433,"Azerbaijan","Barley",2014,335802,681759
"1044",5008,66167,66167,"Azerbaijan","Maize",2000,31870,103527
"1045",5009,66173,66173,"Azerbaijan","Maize",2006,31868,145883
"1046",5010,66177,66177,"Azerbaijan","Maize",2010,29870,136061
"1047",5011,66181,66181,"Azerbaijan","Maize",2014,37578,203596
"1052",5016,66217,66217,"Azerbaijan","Millet",2000,12,2
"1053",5017,66223,66223,"Azerbaijan","Millet",2006,20,50
"1054",5018,66227,66227,"Azerbaijan","Millet",2010,79,59
"1055",5019,66231,66231,"Azerbaijan","Millet",2014,85,77
"1096",5088,66663,66663,"Azerbaijan","Potatoes",2000,52487,469009
"1097",5089,66669,66669,"Azerbaijan","Potatoes",2006,66847,999343
"1098",5090,66673,66673,"Azerbaijan","Potatoes",2010,65798,953710
"1099",5091,66677,66677,"Azerbaijan","Potatoes",2014,61658,819319
"1112",5112,66813,66813,"Azerbaijan","Rice, paddy",2000,4450,22335
"1113",5113,66819,66819,"Azerbaijan","Rice, paddy",2006,1200,5085
"1114",5114,66823,66823,"Azerbaijan","Rice, paddy",2010,1640,3930
"1115",5115,66827,66827,"Azerbaijan","Rice, paddy",2014,1087,2679
"1116",5120,66863,66863,"Azerbaijan","Rye",2000,6,9
"1117",5121,66869,66869,"Azerbaijan","Rye",2006,12,16
"1118",5122,66873,66873,"Azerbaijan","Rye",2010,3,2
"1119",5123,66877,66877,"Azerbaijan","Rye",2014,71,86
"1120",5128,66913,66913,"Azerbaijan","Sorghum",2000,2,0
"1121",5129,66919,66919,"Azerbaijan","Sorghum",2006,1,1
"1122",5130,66923,66923,"Azerbaijan","Sorghum",2010,0,0
"1123",5131,66927,66927,"Azerbaijan","Sorghum",2014,13,16
"1124",5132,66938,66938,"Azerbaijan","Soybeans",2000,67,80
"1125",5133,66944,66944,"Azerbaijan","Soybeans",2006,106,52
"1126",5134,66948,66948,"Azerbaijan","Soybeans",2010,59,42
"1127",5135,66952,66952,"Azerbaijan","Soybeans",2014,78,49
"1132",5144,67013,67013,"Azerbaijan","Sunflower seed",2000,4335,3748
"1133",5145,67019,67019,"Azerbaijan","Sunflower seed",2006,10599,15899
