"","X.3","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t","kj_t_crop","production_kj"
"359",359,6262,78652,78652,"Belgium","RAPESEED",2000,4800,14200,20682792,293695646400
"360",360,6263,78658,78658,"Belgium","RAPESEED",2006,9606,33976,20682792,702718540992
"361",361,6264,78662,78662,"Belgium","RAPESEED",2010,11300,45665,20682792,944479696680
"362",362,6265,78666,78666,"Belgium","RAPESEED",2014,12200,58500,20682792,1209943332000
"363",363,6274,78703,78703,"Belgium","RYE",2000,1100,4800,13355892,64108281600
"364",364,6275,78709,78709,"Belgium","RYE",2006,603,2745,13355892,36661923540
"365",365,6276,78713,78713,"Belgium","RYE",2010,459,1969,13355892,26297751348
"366",366,6277,78717,78717,"Belgium","RYE",2014,400,1803,13355892,24080673276
"367",367,6320,78898,78898,"Belgium","WHEAT",2000,213100,1687700,13983912,23600648282400
"368",368,6321,78904,78904,"Belgium","WHEAT",2006,201330,1661958,13983912,23240674419696
"369",369,6322,78908,78908,"Belgium","WHEAT",2010,209532,1849584,13983912,25864419892608
"370",370,6323,78912,78912,"Belgium","WHEAT",2014,211900,1994600,13983912,27892310875200
"371",371,7021,90742,90742,"Bolivia_(Plurinational_State_of)","BARLEY",2000,88569,66550,13900176,925056712800
"372",372,7022,90748,90748,"Bolivia_(Plurinational_State_of)","BARLEY",2006,92619,75226,13900176,1045654639776
"373",373,7023,90752,90752,"Bolivia_(Plurinational_State_of)","BARLEY",2010,57451,49314,13900176,685473279264
"374",374,7024,90756,90756,"Bolivia_(Plurinational_State_of)","BARLEY",2014,56252,44798,13900176,622700084448
"375",375,7049,91134,91134,"Bolivia_(Plurinational_State_of)","CASSAVA",2000,34559,342261,4563612,1561946406732
"376",376,7050,91140,91140,"Bolivia_(Plurinational_State_of)","CASSAVA",2006,36432,371280,4563612,1694377863360
"377",377,7051,91144,91144,"Bolivia_(Plurinational_State_of)","CASSAVA",2010,30345,266240,4563612,1215016058880
"378",378,7052,91148,91148,"Bolivia_(Plurinational_State_of)","CASSAVA",2014,30911,245808,4563612,1121772338496
"379",379,7141,92359,92359,"Bolivia_(Plurinational_State_of)","GROUNDNUTS, WITH SHELL",2000,11182,12708,17333352,220272237216
"380",380,7142,92365,92365,"Bolivia_(Plurinational_State_of)","GROUNDNUTS, WITH SHELL",2006,11930,14210,17333352,246306931920
"381",381,7143,92369,92369,"Bolivia_(Plurinational_State_of)","GROUNDNUTS, WITH SHELL",2010,12102,12809,17333352,222022905768
"382",382,7144,92373,92373,"Bolivia_(Plurinational_State_of)","GROUNDNUTS, WITH SHELL",2014,19221,20788,17333352,360325721376
"383",383,7157,92553,92553,"Bolivia_(Plurinational_State_of)","MAIZE",2000,307292,653271,14905008,9737009481168
"384",384,7158,92559,92559,"Bolivia_(Plurinational_State_of)","MAIZE",2006,343080,894436,14905008,13331575735488
"385",385,7159,92563,92563,"Bolivia_(Plurinational_State_of)","MAIZE",2010,365354,1018988,14905008,15188024291904
"386",386,7160,92567,92567,"Bolivia_(Plurinational_State_of)","MAIZE",2014,463479,1006622,14905008,15003708962976
"387",387,7161,92609,92609,"Bolivia_(Plurinational_State_of)","MAIZE, GREEN",2000,17000,45000,2344608,105507360000
"388",388,7162,92615,92615,"Bolivia_(Plurinational_State_of)","MAIZE, GREEN",2006,11928,34321,2344608,80469291168
"389",389,7163,92619,92619,"Bolivia_(Plurinational_State_of)","MAIZE, GREEN",2010,7689,22299,2344608,52282413792
"390",390,7164,92623,92623,"Bolivia_(Plurinational_State_of)","MAIZE, GREEN",2014,8412,21831,2344608,51185137248
"391",391,7225,93501,93501,"Bolivia_(Plurinational_State_of)","POTATOES",2000,125404,721466,2805156,2023824678696
"392",392,7226,93507,93507,"Bolivia_(Plurinational_State_of)","POTATOES",2006,135370,754807,2805156,2117351384892
"393",393,7227,93511,93511,"Bolivia_(Plurinational_State_of)","POTATOES",2010,177256,1002902,2805156,2813296562712
"394",394,7228,93515,93515,"Bolivia_(Plurinational_State_of)","POTATOES",2014,176363,1064384,2805156,2985763163904
"395",395,7249,93793,93793,"Bolivia_(Plurinational_State_of)","RICE, PADDY",2000,156312,299083,11723040,3506161972320
"396",396,7250,93799,93799,"Bolivia_(Plurinational_State_of)","RICE, PADDY",2006,168399,446462,11723040,5233891884480
"397",397,7251,93803,93803,"Bolivia_(Plurinational_State_of)","RICE, PADDY",2010,194237,442017,11723040,5181782971680
"398",398,7252,93807,93807,"Bolivia_(Plurinational_State_of)","RICE, PADDY",2014,174925,484057,11723040,5674619573280
"399",399,7265,94017,94017,"Bolivia_(Plurinational_State_of)","RYE",2000,298,205,13355892,2737957860
"400",400,7266,94023,94023,"Bolivia_(Plurinational_State_of)","RYE",2006,432,405,13355892,5409136260
"401",401,7267,94027,94027,"Bolivia_(Plurinational_State_of)","RYE",2010,122,106,13355892,1415724552
