"","X.2","X.1","X","Area","Item","Year","Area_harvested_ha","Production_t"
"519",1355,18555,18555,"Algeria","Pumpkins, squash and gourds",2010,13052,222669
"520",1356,18559,18559,"Algeria","Pumpkins, squash and gourds",2014,12677,285293
"521",1357,18601,18601,"Algeria","Quinces",2000,560,1992
"522",1358,18607,18607,"Algeria","Quinces",2006,1673,8991
"523",1359,18611,18611,"Algeria","Quinces",2010,3311,11592
"524",1360,18615,18615,"Algeria","Quinces",2014,1887,11574
"525",1361,18639,18639,"Algeria","Rapeseed",2000,16000,29000
"526",1362,18645,18645,"Algeria","Rapeseed",2006,15000,29000
"527",1363,18649,18649,"Algeria","Rapeseed",2010,13154,25660
"528",1364,18653,18653,"Algeria","Rapeseed",2014,12165,23977
"529",1365,18695,18695,"Algeria","Rice, paddy",2000,335,437
"530",1366,18701,18701,"Algeria","Rice, paddy",2006,282,360
"531",1367,18705,18705,"Algeria","Rice, paddy",2010,203,311
"532",1368,18709,18709,"Algeria","Rice, paddy",2014,180,320
"541",1377,18863,18863,"Algeria","Sorghum",2000,120,834
"542",1378,18869,18869,"Algeria","Sorghum",2006,437,2479
"543",1379,18873,18873,"Algeria","Sorghum",2010,35,106
"544",1380,18877,18877,"Algeria","Sorghum",2014,75,465
"545",1381,18899,18899,"Algeria","Strawberries",2000,NA,NA
"546",1382,18905,18905,"Algeria","Strawberries",2006,NA,NA
"547",1383,18909,18909,"Algeria","Strawberries",2010,NA,NA
"548",1384,18913,18913,"Algeria","Strawberries",2014,NA,NA
"549",1385,18952,18952,"Algeria","Sugar beet",2000,NA,NA
"550",1386,18958,18958,"Algeria","Sugar beet",2006,NA,NA
"551",1387,18962,18962,"Algeria","Sugar beet",2010,NA,NA
"552",1388,18966,18966,"Algeria","Sugar beet",2014,NA,NA
"553",1389,19008,19008,"Algeria","Sunflower seed",2000,148,57
"554",1390,19014,19014,"Algeria","Sunflower seed",2006,163,66
"555",1391,19018,19018,"Algeria","Sunflower seed",2010,170,70
"556",1392,19022,19022,"Algeria","Sunflower seed",2014,180,80
"557",1393,19064,19064,"Algeria","Tangerines, mandarins, clementines, satsumas",2000,11370,102392
"558",1394,19070,19070,"Algeria","Tangerines, mandarins, clementines, satsumas",2006,11618,156091
