"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots","sum_t","Region","kJ_t_N","N_total_kj"
"109","Central_African_Republic",0,540.880061606861,2371.39606416405,0,40.6829585902597,344.297533335106,1229.45911638926,989.460054076328,1161.68312869434,6677.8589168562,"Africa",29607941.5078667,197717656208.064
"110","Chad",48.5039232954728,3125.51905535505,2122.12489472466,0,0,8776.1830629776,5655.65143822153,277.048815141372,173.945687874508,20178.9768775902,"Africa",29607941.5078667,597457967080.284
"111","Comoros",0,462.609482369171,42.9347497932859,0,0,0,13.239852012975,0,61.5106025432744,580.294686718706,"Africa",29607941.5078667,17181331141.6933
"112","Congo",0,64.8707119049777,198.298635091781,0,73.2293254624673,0,499.110128567174,949.88165191328,611.792697668062,2397.18315060774,"Africa",29607941.5078667,70975658506.8376
"113","Cook_Islands",0,0,0,0,0,0,0,0,0.925899687053805,0.925899687053805,"Other_Asia",30430384.3275296,28175483.3257867
"114","Côte_d'Ivoire",0,11915.622652687,8883.27461842236,18.5214030051137,1617.14760396282,718.037538357538,1032.02385978601,2092.90590638226,1674.35995808061,27951.8935406837,"Africa",29607941.5078667,827598028986.68
"115","Cuba",0,6982.9360727838,3153.03316897635,0,0,2.14282908932512,193.753931897195,82394.317623044,623.661338541122,93349.8449643318,"Latin_America",29607941.5078667,2763896749472.36
"116","Cyprus",689.394034225497,0,0,0,0,3235.54684001174,18.9053594947455,0,650.456921528436,4594.30315526042,"Central_European_countries",35858506.9373052,164744851564.989
"117","Democratic_People's_Republic_of_Korea",1526.25678636421,18669.0859973981,12381.1836613197,1739.88937320765,0,829.660566804898,0,0,1160.46094110743,36306.537326202,"Other_Asia",30430384.3275296,1104821884438.13
"118","Democratic_Republic_of_the_Congo",188.945416400071,15612.8344854165,36990.0842155118,132.096891251017,2034.14792951299,378.601165870787,6342.25078822123,2849.64495573983,12260.3932960916,76788.9991440158,"Africa",29607941.5078667,2273564195103.64
"119","Djibouti",0,0,0.149772382999835,0,0,0,0,0,0,0.149772382999835,"Africa",29607941.5078667,4434451.95535292
"120","Dominica",0,0,3.22010623449645,0,0,0,0,17.4144969517434,0.678993103839457,21.3135962900793,"Latin_America",29607941.5078667,631051712.278952
"121","Equatorial_Guinea",0,0,0,0,35.5975887664772,0,0,0,114.743661884287,150.341250650764,"Africa",29607941.5078667,4451294955.48735
"122","Eritrea",599.68957324568,0,562.669880866546,0,0,1559.80815070154,18.5099589605787,0,25.073363525417,2765.75092729976,"Africa",29607941.5078667,81888191680.8194
"123","Faroe_Islands",0,0,0,0,0,0,0,0,0.66047511009838,0.66047511009838,"Western_Europe",28785498.6882037,19012105.4153281
