"","Country","Year","Area_harvested_ha","production_kj","code_Area_Year","N_total_kj","N_total_t"
"278","Republic_of_Korea",2006,1149148,81189614407500,"Republic_of_Korea 2006",1058734959495.75,34792.0337811158
"279","Republic_of_Korea",2010,1064842,74446908911028,"Republic_of_Korea 2010",811766765860.59,26676.1917011414
"280","Republic_of_Korea",2014,973642,72773077978008,"Republic_of_Korea 2014",873557058812.333,28706.7376280899
"281","Republic_of_Moldova",2000,1228598,32014453285440,"Republic_of_Moldova 2000",66135953159.8018,2015.3895761271
"282","Republic_of_Moldova",2006,1247750,39404693079900,"Republic_of_Moldova 2006",790314871427.067,24083.6077448485
"283","Republic_of_Moldova",2010,1240789,42535029001752,"Republic_of_Moldova 2010",640502491527.64,19518.3101359284
"284","Republic_of_Moldova",2014,1325069,52455526374564,"Republic_of_Moldova 2014",761542291141.354,23206.8084304727
"285","Romania",2000,6460212,168996027563964,"Romania 2000",27275396333794.6,760639.487346273
"286","Romania",2006,6401894,262081459944972,"Romania 2006",26085156839547.9,727446.819945823
"287","Romania",2010,6425564,282932095104792,"Romania 2010",27202474453491.8,758605.886771929
"288","Romania",2014,6853749,373046294108880,"Romania 2014",28980441566167.9,808188.740731373
"289","Russian_Federation",2000,43288696,937039005652464,"Russian_Federation 2000",22117281485122.5,673989.508394626
"290","Russian_Federation",2006,45432192,1176137254298808,"Russian_Federation 2006",22927605054608.3,698682.849870868
"291","Russian_Federation",2010,38680392,938020117839480,"Russian_Federation 2010",35472606328850.2,1080972.11301217
"292","Russian_Federation",2014,49638199,1612846663557264,"Russian_Federation 2014",35655845191506.4,1086556.03032332
"293","Saudi_Arabia",2000,631906,31554985521708,"Saudi_Arabia 2000",1746868548964.13,59000
"294","Saudi_Arabia",2006,623236,44142547763520,"Saudi_Arabia 2006",399043834740.113,13477.5946728377
"295","Saudi_Arabia",2010,299981,23157106184772,"Saudi_Arabia 2010",161708101560.836,5461.64621130012
"296","Saudi_Arabia",2014,253531,13465559699424,"Saudi_Arabia 2014",118759368392.768,4011.06467875229
"297","Slovakia",2000,975774,36014435924832,"Slovakia 2000",2149302934892.46,59938.439117119
"298","Slovakia",2006,964268,50009172226344,"Slovakia 2006",3370103586566.95,93983.3772906168
